PROVINCIA,age,year_test,cases_p
LUCANAS,c. >60,2021,280
LUYA,a. <40,2020,303
LUYA,a. <40,2021,605
LUYA,b. 40-60,2020,92
LUYA,b. 40-60,2021,308
LUYA,c. >60,2020,57
LUYA,c. >60,2021,172
MANU,a. <40,2020,367
MANU,a. <40,2021,167
MANU,b. 40-60,2020,207
MANU,b. 40-60,2021,126
MANU,c. >60,2020,42
MANU,c. >60,2021,59
MARAÑON,a. <40,2020,192
MARAÑON,a. <40,2021,22
MARAÑON,b. 40-60,2020,72
MARAÑON,b. 40-60,2021,23
MARAÑON,c. >60,2020,23
MARAÑON,c. >60,2021,18
MARISCAL CACERES,a. <40,2020,1039
MARISCAL CACERES,a. <40,2021,475
MARISCAL CACERES,b. 40-60,2020,506
MARISCAL CACERES,b. 40-60,2021,255
MARISCAL CACERES,c. >60,2020,232
MARISCAL CACERES,c. >60,2021,126
MARISCAL LUZURIAGA,a. <40,2020,100
MARISCAL LUZURIAGA,a. <40,2021,88
MARISCAL LUZURIAGA,b. 40-60,2020,46
MARISCAL LUZURIAGA,b. 40-60,2021,68
MARISCAL LUZURIAGA,c. >60,2020,26
MARISCAL LUZURIAGA,c. >60,2021,48
MARISCAL NIETO,a. <40,2020,5061
MARISCAL NIETO,a. <40,2021,5251
MARISCAL NIETO,b. 40-60,2020,4006
MARISCAL NIETO,b. 40-60,2021,2964
MARISCAL NIETO,c. >60,2020,1650
MARISCAL NIETO,c. >60,2021,474
MARISCAL RAMON CASTILLA,a. <40,2020,830
