PROVINCIA,age,year_test,cases_p
HUARAZ,c. >60,2020,961
HUARAZ,c. >60,2021,1364
HUARI,a. <40,2020,156
HUARI,a. <40,2021,511
HUARI,b. 40-60,2020,79
HUARI,b. 40-60,2021,270
HUARI,c. >60,2020,39
HUARI,c. >60,2021,156
HUARMEY,a. <40,2020,754
HUARMEY,a. <40,2021,949
HUARMEY,b. 40-60,2020,543
HUARMEY,b. 40-60,2021,569
HUARMEY,c. >60,2020,265
HUARMEY,c. >60,2021,315
HUAROCHIRI,a. <40,2020,796
HUAROCHIRI,a. <40,2021,1798
HUAROCHIRI,b. 40-60,2020,558
HUAROCHIRI,b. 40-60,2021,1055
HUAROCHIRI,c. >60,2020,198
HUAROCHIRI,c. >60,2021,490
HUAURA,a. <40,2020,3429
HUAURA,a. <40,2021,6359
HUAURA,b. 40-60,2020,2545
HUAURA,b. 40-60,2021,3719
HUAURA,c. >60,2020,1513
HUAURA,c. >60,2021,1809
HUAYLAS,a. <40,2020,637
HUAYLAS,a. <40,2021,963
HUAYLAS,b. 40-60,2020,330
HUAYLAS,b. 40-60,2021,606
HUAYLAS,c. >60,2020,197
HUAYLAS,c. >60,2021,388
HUAYTARA,a. <40,2020,131
HUAYTARA,a. <40,2021,186
HUAYTARA,b. 40-60,2020,85
HUAYTARA,b. 40-60,2021,125
HUAYTARA,c. >60,2020,43
HUAYTARA,c. >60,2021,66
ICA,a. <40,2020,7809
ICA,a. <40,2021,8305
ICA,b. 40-60,2020,4750
ICA,b. 40-60,2021,4729
ICA,c. >60,2020,2433
ICA,c. >60,2021,2155
ILO,a. <40,2020,2264
ILO,a. <40,2021,2815
ILO,b. 40-60,2020,1629
ILO,b. 40-60,2021,1616
ILO,c. >60,2020,699
ILO,c. >60,2021,708
ISLAY,a. <40,2020,796
ISLAY,a. <40,2021,1017
ISLAY,b. 40-60,2020,642
ISLAY,b. 40-60,2021,730
ISLAY,c. >60,2020,337
ISLAY,c. >60,2021,336
JAEN,a. <40,2020,4229
JAEN,a. <40,2021,4934
JAEN,b. 40-60,2020,2472
JAEN,b. 40-60,2021,2848
JAEN,c. >60,2020,1340
JAEN,c. >60,2021,1345
JAUJA,a. <40,2020,552
JAUJA,a. <40,2021,2092
JAUJA,b. 40-60,2020,345
JAUJA,b. 40-60,2021,1408
JAUJA,c. >60,2020,179
JAUJA,c. >60,2021,832
JORGE BASADRE,a. <40,2020,230
JORGE BASADRE,a. <40,2021,274
JORGE BASADRE,b. 40-60,2020,129
JORGE BASADRE,b. 40-60,2021,188
JORGE BASADRE,c. >60,2020,47
JORGE BASADRE,c. >60,2021,51
JULCAN,a. <40,2020,63
JULCAN,a. <40,2021,140
JULCAN,b. 40-60,2020,38
JULCAN,b. 40-60,2021,125
JULCAN,c. >60,2020,30
JULCAN,c. >60,2021,98
JUNIN,a. <40,2020,253
JUNIN,a. <40,2021,424
JUNIN,b. 40-60,2020,181
JUNIN,b. 40-60,2021,306
JUNIN,c. >60,2020,111
JUNIN,c. >60,2021,176
LA CONVENCION,a. <40,2020,1877
LA CONVENCION,a. <40,2021,4421
LA CONVENCION,b. 40-60,2020,1081
LA CONVENCION,b. 40-60,2021,2651
LA CONVENCION,c. >60,2020,409
LA CONVENCION,c. >60,2021,1035
LA MAR,a. <40,2020,559
LA MAR,a. <40,2021,824
LA MAR,b. 40-60,2020,262
LA MAR,b. 40-60,2021,551
LA MAR,c. >60,2020,107
LA MAR,c. >60,2021,198
LA UNION,a. <40,2020,39
LA UNION,a. <40,2021,200
LA UNION,b. 40-60,2020,13
LA UNION,b. 40-60,2021,163
LA UNION,c. >60,2020,7
LA UNION,c. >60,2021,118
LAMAS,a. <40,2020,1103
LAMAS,a. <40,2021,708
LAMAS,b. 40-60,2020,594
LAMAS,b. 40-60,2021,425
LAMAS,c. >60,2020,328
LAMAS,c. >60,2021,255
LAMBAYEQUE,a. <40,2020,3318
LAMBAYEQUE,a. <40,2021,2368
LAMBAYEQUE,b. 40-60,2020,2298
LAMBAYEQUE,b. 40-60,2021,1603
LAMBAYEQUE,c. >60,2020,1170
LAMBAYEQUE,c. >60,2021,782
LAMPA,a. <40,2020,285
LAMPA,a. <40,2021,492
LAMPA,b. 40-60,2020,202
LAMPA,b. 40-60,2021,324
LAMPA,c. >60,2020,77
LAMPA,c. >60,2021,174
LAURICOCHA,a. <40,2020,42
LAURICOCHA,a. <40,2021,69
LAURICOCHA,b. 40-60,2020,13
LAURICOCHA,b. 40-60,2021,52
LAURICOCHA,c. >60,2020,4
LAURICOCHA,c. >60,2021,34
LEONCIO PRADO,a. <40,2020,886
LEONCIO PRADO,a. <40,2021,566
LEONCIO PRADO,b. 40-60,2020,500
LEONCIO PRADO,b. 40-60,2021,397
LEONCIO PRADO,c. >60,2020,264
LEONCIO PRADO,c. >60,2021,221
LIMA,a. <40,2020,183719
LIMA,a. <40,2021,256631
LIMA,b. 40-60,2020,136674
LIMA,b. 40-60,2021,156533
LIMA,c. >60,2020,66739
LIMA,c. >60,2021,73043
LORETO,a. <40,2020,2056
LORETO,a. <40,2021,504
LORETO,b. 40-60,2020,828
LORETO,b. 40-60,2021,288
LORETO,c. >60,2020,416
LORETO,c. >60,2021,126
LUCANAS,a. <40,2020,397
LUCANAS,a. <40,2021,564
LUCANAS,b. 40-60,2020,234
LUCANAS,b. 40-60,2021,411
LUCANAS,c. >60,2020,139
